Route,Repo,File Path,Classification,Fixture Source,Auth Protected,Notes
/,keon-systems-pr,src/Keon.Control.Website/src/app/page.tsx,Fixture-backed (label required),mockActivityEvents + mockSubsystems + mockSystemMetrics,NO,"Dashboard metrics (Trust Score 98.7%, Active Agents 12, Avg Latency 23ms) all hardcoded from lib/mock-data.ts. No visible fixture label."
/alerts,keon-systems-pr,src/Keon.Control.Website/src/app/alerts/page.tsx,Fixture-backed (label required),Inline mockAlerts (4 items),NO,useRealtimeSubscription falls back to mock on disconnect. Backend alerts API not implemented. No visible fixture label.
/evidence,keon-systems-pr,src/Keon.Control.Website/src/app/evidence/page.tsx,Launchable,None,NO,Static nav/landing page. Real content. No fixture dependency.
/evidence/verify,keon-systems-pr,src/Keon.Control.Website/src/app/evidence/verify/page.tsx,Launchable,None,NO,Client-side hash verifier. User-uploaded proof JSON + pack_hash. Logic is real and complete.
/evidence/pack,keon-systems-pr,src/Keon.Control.Website/src/app/evidence/pack/page.tsx,Launchable,None,NO,Entry form routing to [pack_hash]. No fixture data.
/evidence/pack/[pack_hash],keon-systems-pr,src/Keon.Control.Website/src/app/evidence/pack/[pack_hash]/page.tsx,Launchable,None,NO,Renders hash-addressed pack detail from URL param. No invented data.
/evidence/golden-path,keon-systems-pr,src/Keon.Control.Website/src/app/evidence/golden-path/page.tsx,Hide before launch,None — references internal scripts,NO,"References internal paths: samples/buyer-wow/run.ps1, samples/golden-path/verify-pack.ps1, START_HERE.md, BUYER_WOW.md. Appears to be a buyer/sales demo tool. Not a general user feature."
/evidence/source/[slug],keon-systems-pr,src/Keon.Control.Website/src/app/evidence/source/[slug]/page.tsx,Hide before launch,None,NO,"CRITICAL: Server component reads arbitrary files from repo via fs.readFile(process.cwd() + doc.filePath). Only gated by evidenceDocRegistry lookup — not auth. Filesystem exposure risk. Needs auth gate and path sandboxing before any customer exposure."
/governance/receipts,keon-systems-pr,src/Keon.Control.Website/src/app/governance/receipts/page.tsx,Fixture-backed (label required),Inline mockReceipts (3 items — static 2026-01-04 timestamps),NO,Backend receipts API IS implemented in lib/api/ but page re-declares its own inline mock and ignores it. No visible fixture label.
/incident-mode,keon-systems-pr,src/Keon.Control.Website/src/app/incident-mode/page.tsx,Hide before launch,None,NO,"Not linked in sidebar. Activate button uses Date.now() as incident ID, hardcodes 'manual-override' as root subsystem and 'all' as impacted components. Source comment: 'for dev/demo purposes.' Not production-safe."
/observability/traces,keon-systems-pr,src/Keon.Control.Website/src/app/observability/traces/page.tsx,Fixture-backed (label required),Inline mockTraces (4 items),NO,Backend observability API IS implemented but page ignores it. No visible fixture label.
/policies,keon-systems-pr,src/Keon.Control.Website/src/app/policies/page.tsx,Fixture-backed (label required),Inline mockPolicies (4 items),NO,Backend policies API not implemented (lib/api/policies.ts stub). No visible fixture label.
/runtime/executions,keon-systems-pr,src/Keon.Control.Website/src/app/runtime/executions/page.tsx,Fixture-backed (label required),Inline mockExecutions (3 items — static timestamps),NO,Backend executions API IS implemented in lib/api/ but page re-declares its own inline mock and ignores it. No visible fixture label.
/settings,keon-systems-pr,src/Keon.Control.Website/src/app/settings/page.tsx,Hide before launch,Hardcoded defaults (Admin User / admin@example.com),NO,UI complete but all fields are hardcoded. Save button is a no-op. No backend persistence. Would mislead users.
/tenants,keon-systems-pr,src/Keon.Control.Website/src/app/tenants/page.tsx,Fixture-backed (label required),"Inline mockTenants (Acme Corporation, Globex Industries, Initech)",NO,Backend tenants API not implemented (lib/api/tenants.ts stub). Simpsons-named fixture orgs visible. No visible fixture label.
/ui-demo,keon-systems-pr,src/Keon.Control.Website/src/app/ui-demo/page.tsx,Internal-only,None,NO,Explicit component showcase labeled 'UI Component Arsenal'. Not in sidebar. Dev/design reference only. Must be removed from prod build or env-gated.
